AUSENCIA DE N,AREA CM.,PERI CM.,ANCH CM.,LARGO CM.,AADLH,PDLHA
NO,161,73,25,14,43,27
NO,139,74,15,13,35,25
NO,139,65,11,13,34,24
NO,246,87,18,16,43,17
NO,272,93,18,15,27,10
NO,320,68,21,19,52,16
NO,192,88,21,16,26,14
NO,202,80,19,14,25,12
NO,202,87,18,15,32,16
NO,217,78,19,16,39,18
NO,290,101,23,16,65,22
NO,186,78,22,15,34,18
NO,196,88,22,15,41,21
NO,197,72,25,15,34,17
NO,208,87,21,19,57,27
NO,217,89,24,22,63,29
NO,193,79,25,23,53,27
NO,185,74,23,23,34,18
NO,182,67,21,15,42,23
NO,193,68,23,22,39,20
SI,212,85,18,13,139,66
SI,131,61,11,11,38,29
SI,125,74,11,11,44,35
SI,212,177,17,22,66,31
SI,158,81,20,13,53,34
SI,154,63,16,13,69,45
SI,187,77,30,14,60,32
SI,169,74,17,13,87,51
SI,194,86,22,17,73,38
SI,139,69,14,12,45,32
SI,117,65,11,12,36,31
SI,99,54,18,12,81,82
SI,138,81,14,17,54,39
SI,155,75,14,18,48,31
SI,212,75,16,18,80,38
SI,194,70,16,18,63,32
SI,186,65,16,15,70,38
SI,189,77,21,15,81,43
SI,227,54,25,19,73,32
SI,222,79,26,23,69,31
