AUSENCIA DE N,AREA CM.,PERI CM.,ANCH CM.,LARGO CM.,AADLH,PDLHA
NO,161,73,25,14,43,27
NO,139,74,15,13,35,25
NO,139,65,11,13,34,24
NO,246,87,18,16,43,17
NO,272,93,18,15,27,10
NO,320,68,21,19,52,16
NO,192,88,21,16,26,14
NO,202,80,19,14,25,12
NO,202,87,18,15,32,16
NO,217,78,19,16,39,18
SI,212,85,18,13,139,66
SI,131,61,11,11,38,29
SI,125,74,11,11,44,35
SI,212,177,17,22,66,31
SI,158,81,20,13,53,34
SI,154,63,16,13,69,45
SI,187,77,30,14,60,32
SI,169,74,17,13,87,51
SI,194,86,22,17,73,38
SI,139,69,14,12,45,32
