AUSENCIA DE N,MED R,MED G,MED B,VAR R,VAR G,VAR B,DES R,DES G,DES B
NO,114.47,50.74,216.61,1144.62,1226.75,3170.9,33.83,35.02,56.31
NO,92.68,30.24,211.52,1335.97,1013.11,4669.53,36.55,31.83,68.33
NO,119,55,211.98,1634.73,1137.97,3808.5,40.43,33.73,61.71
NO,145.84,68.63,182.38,4802.49,1522.59,6359,69.3,39.02,79.74
NO,113.61,44.92,165,2991.44,1249.78,7015.86,54.69,35.35,83.76
NO,83.7,49.76,159.03,2158,1265,7097,46.46,35.57,84.25
NO,74.84,32.19,179.31,1656.26,1289.37,6297.46,41.91,35.91,79.36
NO,80.42,33.17,177.25,2091.29,1235.33,6336,45.73,35.15,79.6
NO,77.62,31.24,178.38,1817,1143,6301.5,42.63,33.81,79.38
NO,77.72,35,177.31,1755,1164,6418.81,41.89,34.13,80.12
SI,112.33,59.32,199.3,1685.98,1025.86,3956.74,112.33,59.32,199.3
SI,112.51,50,190,2254.77,1055.71,5550.3,112.51,50,190
SI,105.69,55.77,200.28,2286.56,1650.77,5275.8,105.69,55.77,200.28
SI,119.88,69.71,200.87,1575.55,2177.65,3181.41,119.88,69.71,200.87
SI,96,49.87,195,1490.47,1196,4608,96,49.87,195
SI,104.8,60,212,1579,927,3561.37,104.8,60,212
SI,116.23,42.47,199.49,2231.11,810.19,5740.42,116.23,42.47,199.49
SI,108,42.43,208.93,1781.41,1107.87,4586.86,108,42.43,208.93
SI,104.59,39.39,210.08,2003.43,1030.84,4346.4,104.59,39.39,210.08
SI,113.12,59.17,197.54,1874,1073,5143.28,113.12,59.17,197.54
