AUSENCIA DE N,PIXELES BLANCOS,AREA P.,PERI P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION
NO,123870,123209,2035,542,956,33127
NO,152973,1538881,2645,585,616,38915
NO,130436,130527,2021,557,449,32067
NO,304262,304446,3256,696,825,53442
NO,332968,333118,3278,696,822,32903
NO,376603,377336,3095,694,834,61668
NO,256467,256539,3261,662,1022,35284
NO,262468,263009,2888,626,837,32836
NO,264949,265130,3193,690,821,42018
NO,280041,280166,2932,667,794,50132
NO,330655,331467,3512,681,978,73775
NO,249804,24991,2888,650,1032,45402
NO,267072,267199,3272,690,1026,56051
NO,243304,242453,2989,654,1033,41942
NO,280780,280950,3238,694,1013,77344
NO,250667,248927,3051,968,1079,72904
NO,225980,220061,2698,941,1079,61841
NO,217972,215369,2673,947,1079,39499
NO,213909,212130,2701,632,984,49942
NO,244742,243350,2444,981,1107,49118
SI,221534,221743,2764,603,680,145242
SI,215625,215691,2596,631,621,62556
SI,198836,199014,3045,580,623,70279
SI,207786,1815,7556,650,774,64992
SI,194324,194284,2885,625,917,64606
SI,149093,149247,2060,550,497,66739
SI,217265,217317,2677,625,1037,70071
SI,189342,189509,2503,626,651,97279
SI,158726,158887,2467,583,603,59880
SI,210953,211116,2691,616,676,68518
SI,137191,137805,2272,561,494,41883
SI,163794,164854,2469,519,821,134346
SI,200195,200337,3104,658,686,78632
SI,200531,200834,2975,662,695,61947
SI,266024,266864,3212,683,760,100171
SI,259530,269689,2758,672,696,84887
SI,271625,272341,2881,656,733,101884
SI,261322,261409,2901,682,998,111699
SI,187939,185821,2329,656,951,60406
SI,248067,245762,2669,934,1134,76990
