AUSENCIA DE N,PIXE. BLANCOS,AREA P.,PERI P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION
SI,221534,221743,2764,603,680,145242
SI,215625,215691,2596,631,621,62556
SI,198836,199014,3045,580,623,70279
SI,207786,1815,7556,650,774,64992
SI,194324,194284,2885,625,917,64606
SI,149093,149247,2060,550,497,66739
SI,217265,217317,2677,625,1037,70071
SI,189342,189509,2503,626,651,97279
SI,158726,158887,2467,583,603,59880
SI,210953,211116,2691,616,676,68518
SI,137191,137805,2272,561,494,41883
SI,163794,164854,2469,519,821,134346
SI,200195,200337,3104,658,686,78632
SI,200531,200834,2975,662,695,61947
SI,266024,266864,3212,683,760,100171
SI,259530,269689,2758,672,696,84887
SI,271625,272341,2881,656,733,101884
SI,261322,261409,2901,682,998,111699
SI,187939,185821,2329,656,951,60406
SI,248067,245762,2669,934,1134,76990
