AUSENCIA DE N,MED R,MED G,MED B,VAR R,VAR G,VAR B,DES R,DES G,DES B
SI,112.33,59.32,199.3,1685.98,1025.86,3956.74,41,32,62.9
SI,112.51,50,190,2254.77,1055.71,5550.3,47.48,32.49,74.5
SI,105.69,55.77,200.28,2286.56,1650.77,5275.8,47.82,40.63,72.63
SI,119.88,69.71,200.87,1575.55,2177.65,3181.41,39.69,46.67,56.4
SI,96,49.87,195,1490.47,1196,4608,38.61,34.58,67.88
SI,104.8,60,212,1579,927,3561.37,39.74,30.45,59.68
SI,116.23,42.47,199.49,2231.11,810.19,5740.42,47.23,28.46,75.77
SI,108,42.43,208.93,1781.41,1107.87,4586.86,42.21,33.28,67.73
SI,104.59,39.39,210.08,2003.43,1030.84,4346.4,44.76,32.11,65.93
SI,113.12,59.17,197.54,1874,1073,5143.28,43.29,32.76,71.72
SI,120.1,60.82,211.8,1817.58,1120.78,3979.12,42.63,33.48,63.08
SI,204.49,65.14,206.61,5652.85,1365.74,3209.39,75.19,36.96,56.65
SI,88.96,54.94,202.67,1489.57,961.91,5124.89,38.59,31,71.59
SI,133,55.34,203.15,2783.87,1168.21,5318.36,52.76,34.18,72.93
SI,128,60.42,190,3400.16,1172.66,5860,58.31,34.24,76.55
SI,126,58.59,191.58,3401.85,1093.3,6136.88,58.33,33,78.34
SI,140.21,57.02,189.57,4687.35,1318.49,6013.62,68.46,36.31,77.55
SI,131.61,57.64,192.31,3628.19,1008.33,5722,60.23,31.75,75.64
SI,95,52.81,202,1476.9,1107.42,5174.9,38.43,33.28,71.94
SI,77.51,34.8,184.44,1391.81,1224.9,5540.58,37.39,35,74.44
