HOJA,PIXELES BLANCOS,AREA P.,PERIMETRO P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION,HOJA,AREA CM.,PERIMETRO CM.,ANCHO CM.,LARGO CM.,AREA AFECTADA DE LA HOJA,PORCENTAJE DE LA HOJA AFECTADO,AUSENCIA DE NITROGENO,HOJA,MEDIA DE LA COMPONENTE R,MEDIA DE LA COMPONENTE G,MEDIA DE LA COMPONENTE B,VARIANZA DE LA COMPONENTE R,VARIANZA DE LA COMPONENTE G,VARIANZA DE LA COMPONENTE B
1,221534,221743,2764,603,680,145242,1,212,85,18,13,139,66,SI,1,112.33,59.32,199.3,1685.98,1025.86,3956.74
2,215625,215691,2596,631,621,62556,2,131,61,11,11,38,29,SI,2,112.51,50,190,2254.77,1055.71,5550.3
3,198836,199014,3045,580,623,70279,3,125,74,11,11,44,35,SI,3,105.69,55.77,200.28,2286.56,1650.77,5275.8
4,207786,1815,7556,650,774,64992,4,212,177,17,22,66,31,SI,4,119.88,69.71,200.87,1575.55,2177.65,3181.41
6,194324,194284,2885,625,917,64606,6,158,81,20,13,53,34,SI,6,96,49.87,195,1490.47,1196,4608
7,149093,149247,2060,550,497,66739,7,154,63,16,13,69,45,SI,7,104.8,60,212,1579,927,3561.37
8,217265,217317,2677,625,1037,70071,8,187,77,30,14,60,32,SI,8,116.23,42.47,199.49,2231.11,810.19,5740.42
9,189342,189509,2503,626,651,97279,9,169,74,17,13,87,51,SI,9,108,42.43,208.93,1781.41,1107.87,4586.86
10,158726,158887,2467,583,603,59880,10,194,86,22,17,73,38,SI,10,104.59,39.39,210.08,2003.43,1030.84,4346.4
12,210953,211116,2691,616,676,68518,12,139,69,14,12,45,32,SI,12,113.12,59.17,197.54,1874,1073,5143.28
13,137191,137805,2272,561,494,41883,13,117,65,11,12,36,31,SI,13,120.1,60.82,211.8,1817.58,1120.78,3979.12
15,163794,164854,2469,519,821,134346,15,99,54,18,12,81,82,SI,15,204.49,65.14,206.61,5652.85,1365.74,3209.39
16,200195,200337,3104,658,686,78632,16,138,81,14,17,54,39,SI,16,88.96,54.94,202.67,1489.57,961.91,5124.89
17,200531,200834,2975,662,695,61947,17,155,75,14,18,48,31,SI,17,133,55.34,203.15,2783.87,1168.21,5318.36
18,266024,266864,3212,683,760,100171,18,212,75,16,18,80,38,SI,18,128,60.42,190,3400.16,1172.66,5860
19,259530,269689,2758,672,696,84887,19,194,70,16,18,63,32,SI,19,126,58.59,191.58,3401.85,1093.3,6136.88
20,271625,272341,2881,656,733,101884,20,186,65,16,15,70,38,SI,20,140.21,57.02,189.57,4687.35,1318.49,6013.62
21,261322,261409,2901,682,998,111699,21,189,77,21,15,81,43,SI,21,131.61,57.64,192.31,3628.19,1008.33,5722
36,187939,185821,2329,656,951,60406,36,227,54,25,19,73,32,SI,36,95,52.81,202,1476.9,1107.42,5174.9
37,248067,245762,2669,934,1134,76990,37,222,79,26,23,69,31,SI,37,77.51,34.8,184.44,1391.81,1224.9,5540.58
