AUSENCIA DE N,AREA CM.,PERI CM.,ANCH CM.,LARGO CM.,AADLH,PDLHA
NO,161,73,25,14,43,27
NO,139,74,15,13,35,25
NO,139,65,11,13,34,24
NO,246,87,18,16,43,17
NO,272,93,18,15,27,10
NO,320,68,21,19,52,16
NO,192,88,21,16,26,14
NO,202,80,19,14,25,12
NO,202,87,18,15,32,16
NO,217,78,19,16,39,18
NO,290,101,23,16,65,22
NO,186,78,22,15,34,18
NO,196,88,22,15,41,21
NO,197,72,25,15,34,17
NO,208,87,21,19,57,27
NO,217,89,24,22,63,29
NO,193,79,25,23,53,27
NO,185,74,23,23,34,18
NO,182,67,21,15,42,23
NO,193,68,23,22,39,20
